"member","ess_min","stable_share_min","block_exog_max","converged_all","sanity_all","no_lookahead","reproducible"
"small_minn",637.559140395116,0.973333333333333,1.03110753334987e-05,TRUE,TRUE,TRUE,TRUE
"small_ss",698.640417536652,0.986666666666667,1.0052273065854e-05,TRUE,TRUE,TRUE,TRUE
"small_sv",63.5341086092536,1,0,TRUE,TRUE,TRUE,TRUE
"small_loose_p5",753.189337084253,0.863333333333333,1.26473476513061e-05,TRUE,TRUE,TRUE,TRUE
"medium_minn",113.604214331159,1,0,TRUE,TRUE,TRUE,TRUE
"medium_conj",1000,1,0,TRUE,TRUE,TRUE,TRUE
"small_tight",1000,1,0,TRUE,TRUE,TRUE,TRUE
"rw",Inf,1,0,TRUE,TRUE,TRUE,TRUE
"ar4",Inf,1,0,TRUE,TRUE,TRUE,TRUE
"ucsv",16.0202038418538,1,0,TRUE,TRUE,TRUE,TRUE
"ucmean",Inf,1,0,TRUE,TRUE,TRUE,TRUE
