"member","variable","measure","h","logdens","crps","rmse"
"ar4","cash_rate","q",1,-0.284452599211412,0.166852139585623,0.30668930783095
"ar4","cash_rate","q",10,-2.34484633265871,1.40402734611756,2.25441899742775
"ar4","cash_rate","q",11,-2.46318697913505,1.50895355262758,2.37670517517417
"ar4","cash_rate","q",12,-2.54885543203567,1.5933055350779,2.46712804982849
"ar4","cash_rate","q",2,-0.814191336481908,0.303496789884947,0.587050315063726
"ar4","cash_rate","q",3,-1.12479963030924,0.444241224467356,0.852397357793694
"ar4","cash_rate","q",4,-1.39756699104583,0.589170273453376,1.10303004903839
"ar4","cash_rate","q",5,-1.61938736578696,0.732779518226792,1.3327051176235
"ar4","cash_rate","q",6,-1.7992485511449,0.87282161314331,1.54799203370466
"ar4","cash_rate","q",7,-1.93301815351375,1.00453835588187,1.74602275719565
"ar4","cash_rate","q",8,-2.09345153768707,1.14111699131095,1.93095077754918
"ar4","cash_rate","q",9,-2.20704962448618,1.27999603273548,2.10353117502716
"ar4","cpi_inflation","cum",10,-10.1126578203179,2.55312021451673,3.55988733427086
"ar4","cpi_inflation","cum",11,-11.7353962183107,2.84332635782381,3.85893898641061
"ar4","cpi_inflation","cum",12,-12.3902263127687,3.1081369466986,4.13804484140506
"ar4","cpi_inflation","cum",2,-1.0146114307652,0.366050041223794,0.6687035239653
"ar4","cpi_inflation","cum",3,-1.90185508345147,0.599279278360655,1.04785212055664
"ar4","cpi_inflation","cum",4,-3.48656527854867,0.843552948227433,1.43342888823535
"ar4","cpi_inflation","cum",5,-4.15205920741416,1.10301947946505,1.81569885079963
"ar4","cpi_inflation","cum",6,-4.71566616047957,1.37820392478473,2.18785574706745
"ar4","cpi_inflation","cum",7,-5.55292359087589,1.67794814837269,2.55341299639246
"ar4","cpi_inflation","cum",8,-6.57738436569227,1.9725550512064,2.90529412401876
"ar4","cpi_inflation","cum",9,-8.40286203637367,2.26572828972015,3.24496909152745
"ar4","cpi_inflation","q",1,-0.0878434736369497,0.162341424101924,0.314571708366987
"ar4","cpi_inflation","q",10,-7.67801007800212,0.302212710712154,0.493201127410554
"ar4","cpi_inflation","q",11,-7.63412253163925,0.307711820326937,0.499923926200228
"ar4","cpi_inflation","q",12,-5.89683316088449,0.313932267550046,0.503535256921369
"ar4","cpi_inflation","q",2,-0.532110538615707,0.207807979145152,0.38447214892731
"ar4","cpi_inflation","q",3,-1.15405409237946,0.22663753581133,0.415976193039966
"ar4","cpi_inflation","q",4,-1.13515359891667,0.245775003665233,0.441285231717022
"ar4","cpi_inflation","q",5,-1.09933226927365,0.256209801644265,0.451896001413963
"ar4","cpi_inflation","q",6,-1.82337866736588,0.270935488295234,0.465628326352197
"ar4","cpi_inflation","q",7,-2.83549516815247,0.278025056042954,0.4693948033751
"ar4","cpi_inflation","q",8,-5.01252495027963,0.288296593985658,0.478350231285764
"ar4","cpi_inflation","q",9,-7.05381197162445,0.294161441409665,0.48414080976964
"ar4","cpi_inflation","ye",1,-0.0878434736369498,0.162341424101924,0.314571708366987
"ar4","cpi_inflation","ye",10,-17.8874186930808,1.20556943529351,1.79359436268725
"ar4","cpi_inflation","ye",11,-18.8208660326487,1.23344407007954,1.82202019106853
"ar4","cpi_inflation","ye",12,-19.6778865859033,1.25761527130098,1.84489562021638
"ar4","cpi_inflation","ye",2,-1.0146114307652,0.366050041223794,0.6687035239653
"ar4","cpi_inflation","ye",3,-1.90185508345147,0.599279278360654,1.04785212055664
"ar4","cpi_inflation","ye",4,-3.48656527854867,0.843552948227433,1.43342888823535
"ar4","cpi_inflation","ye",5,-4.70195270251932,0.948140823698347,1.57009298604769
"ar4","cpi_inflation","ye",6,-4.71981097476478,1.02300261948023,1.64742485853237
"ar4","cpi_inflation","ye",7,-5.86913025028552,1.08339666671496,1.69916568184871
"ar4","cpi_inflation","ye",8,-9.29131069464472,1.13423314007698,1.73475589861462
"ar4","cpi_inflation","ye",9,-16.5263175335979,1.17233072085983,1.76806462184589
"ar4","gdp_growth","cum",10,-4.0973494455656,2.36212513624223,3.89018663439297
"ar4","gdp_growth","cum",11,-4.95393964209613,2.42252805756104,3.96909216952109
"ar4","gdp_growth","cum",12,-4.79362032406921,2.47036585773054,4.03614434028606
"ar4","gdp_growth","cum",2,-14.6710284950646,1.02241166953109,2.2370278518727
"ar4","gdp_growth","cum",3,-11.3148400291547,1.25019938746915,2.54581875702082
"ar4","gdp_growth","cum",4,-8.97138369534508,1.34159664305195,2.63205709693456
"ar4","gdp_growth","cum",5,-8.0167007282627,1.51707478342393,2.76165438569054
"ar4","gdp_growth","cum",6,-7.75715384743694,1.83778881228367,3.18539783390702
"ar4","gdp_growth","cum",7,-7.29180131477719,2.02333152306491,3.42828565336572
"ar4","gdp_growth","cum",8,-6.80403975626189,2.15611121547593,3.63121280092122
"ar4","gdp_growth","cum",9,-5.72301918873403,2.26799150979843,3.77183225774358
"ar4","gdp_growth","q",1,-Inf,0.668081394867889,1.63169718606694
"ar4","gdp_growth","q",10,-Inf,0.836441997291368,1.84386178962606
"ar4","gdp_growth","q",11,-35.4094107701431,0.865336329309739,1.88767025019965
"ar4","gdp_growth","q",12,-Inf,0.897633353703288,1.93437056299251
"ar4","gdp_growth","q",2,-Inf,0.683745963667475,1.63711851362969
"ar4","gdp_growth","q",3,-Inf,0.708741540142568,1.67125736485085
"ar4","gdp_growth","q",4,-24.9253502824305,0.726886470132722,1.67363511356842
"ar4","gdp_growth","q",5,-28.5615534719331,0.758289521765295,1.71123125773399
"ar4","gdp_growth","q",6,-24.0570086052124,0.769507685614844,1.73024612359707
"ar4","gdp_growth","q",7,-29.0596614933728,0.787610066083915,1.7669607951548
"ar4","gdp_growth","q",8,-28.9948536194836,0.797434260263193,1.78353247687933
"ar4","gdp_growth","q",9,-31.2963195761466,0.816307158969941,1.81274797935687
"ar4","gdp_growth","ye",1,-Inf,0.668081394867889,1.63169718606694
"ar4","gdp_growth","ye",10,-11.0398038483194,1.55192398088198,2.84397543177696
"ar4","gdp_growth","ye",11,-13.1304572820437,1.5670949947213,2.87564110499483
"ar4","gdp_growth","ye",12,-13.6058312938011,1.61593918164902,2.94510943724162
"ar4","gdp_growth","ye",2,-14.6710284950646,1.02241166953109,2.2370278518727
"ar4","gdp_growth","ye",3,-11.3148400291547,1.25019938746915,2.54581875702082
"ar4","gdp_growth","ye",4,-8.97138369534508,1.34159664305195,2.63205709693456
"ar4","gdp_growth","ye",5,-10.2512726370281,1.37254713442605,2.63716832083474
"ar4","gdp_growth","ye",6,-12.0118090114745,1.41020178174315,2.68658835223875
"ar4","gdp_growth","ye",7,-11.4905549829806,1.44814201088696,2.72876371546632
"ar4","gdp_growth","ye",8,-11.7998451101343,1.49489507512532,2.76676493242297
"ar4","gdp_growth","ye",9,-10.1512319806746,1.52776054325518,2.82294270748668
"ar4","unemp_rate","q",1,-3.47953075340825,0.189013922905165,0.41307508103702
"ar4","unemp_rate","q",10,-4.98795174580253,0.846387090572122,1.23338801138419
"ar4","unemp_rate","q",11,-5.29492611966584,0.894484338786364,1.26114478275903
"ar4","unemp_rate","q",12,-5.39453454915745,0.954959193171063,1.2998738137792
"ar4","unemp_rate","q",2,-3.4261349817351,0.326161202869865,0.637249387123344
"ar4","unemp_rate","q",3,-4.03486610762161,0.439802989327062,0.799931776903551
"ar4","unemp_rate","q",4,-3.70407501064095,0.534170038045242,0.914880696320966
"ar4","unemp_rate","q",5,-3.40508194806246,0.597450357419453,1.00091848706037
"ar4","unemp_rate","q",6,-3.64416531757513,0.657339226372766,1.07868952820438
"ar4","unemp_rate","q",7,-5.67878784590486,0.713038586946345,1.13704834061154
"ar4","unemp_rate","q",8,-5.60996358549826,0.760049697311231,1.1739300406308
"ar4","unemp_rate","q",9,-5.84665001537489,0.801643743995207,1.20274097864547
"combo_bma","cash_rate","q",1,-0.149450720858391,0.124293640184344,0.281846153912755
"combo_bma","cash_rate","q",10,-2.55616172997073,1.56820426929066,2.61441530229119
"combo_bma","cash_rate","q",11,-2.66258416556645,1.72012741682054,2.79834189283651
"combo_bma","cash_rate","q",12,-2.76630007515442,1.85003726291907,2.9673531103976
"combo_bma","cash_rate","q",2,-0.872608249548681,0.239090591902789,0.479414745321976
"combo_bma","cash_rate","q",3,-1.18049720288923,0.38586751202237,0.732645188759003
"combo_bma","cash_rate","q",4,-1.51138440900817,0.575986452490692,1.04885924203559
"combo_bma","cash_rate","q",5,-1.7773819404231,0.818711377584312,1.50798027908633
"combo_bma","cash_rate","q",6,-2.02307839396859,1.00305888992679,1.79749718708149
"combo_bma","cash_rate","q",7,-2.28207517841436,1.20181117598341,2.09807647867291
"combo_bma","cash_rate","q",8,-2.43027053548405,1.39329096295199,2.3965879680754
"combo_bma","cash_rate","q",9,-2.42872562963133,1.42383597664496,2.40119433463358
"combo_bma","cpi_inflation","cum",10,-3.95964565639268,3.1134362810977,5.00412101657831
"combo_bma","cpi_inflation","cum",11,-4.27084213107996,3.55732752107114,5.56142529085844
"combo_bma","cpi_inflation","cum",12,-4.44904399107644,3.93647847788589,6.16159295921315
"combo_bma","cpi_inflation","cum",2,-0.779709553720327,0.318119110073062,0.610923528740374
"combo_bma","cpi_inflation","cum",3,-1.41686638378586,0.535134428582125,1.03723710698405
"combo_bma","cpi_inflation","cum",4,-1.89856735187026,0.799614094946517,1.51990679068698
"combo_bma","cpi_inflation","cum",5,-2.77690812431575,1.21088347639043,2.1559763045701
"combo_bma","cpi_inflation","cum",6,-3.11954862527431,1.5335897459514,2.68029368627936
"combo_bma","cpi_inflation","cum",7,-3.52597128888414,1.92781670989384,3.256835392163
"combo_bma","cpi_inflation","cum",8,-3.86687431872194,2.3629667930864,3.86038378917912
"combo_bma","cpi_inflation","cum",9,-3.70080296852202,2.64815280351636,4.37056798244871
"combo_bma","cpi_inflation","q",1,-0.0175589022810962,0.144859248178424,0.277049472663156
"combo_bma","cpi_inflation","q",10,-1.63315284934781,0.438230665776756,0.714872920924461
"combo_bma","cpi_inflation","q",11,-1.61129296583843,0.43647346314578,0.698172651965952
"combo_bma","cpi_inflation","q",12,-1.63302647776022,0.439168182053056,0.685520006847417
"combo_bma","cpi_inflation","q",2,-0.305958438249203,0.192527342700206,0.369617448510331
"combo_bma","cpi_inflation","q",3,-0.676305187383816,0.243113824808137,0.461390833386872
"combo_bma","cpi_inflation","q",4,-0.94601689971275,0.287962127933795,0.526086592705981
"combo_bma","cpi_inflation","q",5,-1.06372306875892,0.323035648327944,0.571424902107814
"combo_bma","cpi_inflation","q",6,-1.51690249947988,0.34657662846859,0.602664439028874
"combo_bma","cpi_inflation","q",7,-1.57087915819267,0.381295113729914,0.643167839579833
"combo_bma","cpi_inflation","q",8,-1.73808333108475,0.401121272404954,0.67487159889393
"combo_bma","cpi_inflation","q",9,-1.59907608237244,0.420486835107106,0.699568092653797
"combo_bma","cpi_inflation","ye",1,-0.0175589022810962,0.146996142585954,0.277049472663156
"combo_bma","cpi_inflation","ye",10,-3.32931318534483,1.64740488526763,2.66572312608488
"combo_bma","cpi_inflation","ye",11,-3.26659233478351,1.72847859186706,2.72507537325919
"combo_bma","cpi_inflation","ye",12,-3.29906720125926,1.76278937831948,2.75015532608069
"combo_bma","cpi_inflation","ye",2,-0.779709553720327,0.317612756168563,0.610923528740374
"combo_bma","cpi_inflation","ye",3,-1.41686638378586,0.542127136889466,1.03723710698405
"combo_bma","cpi_inflation","ye",4,-1.89856735187026,0.804373606569052,1.51990679068698
"combo_bma","cpi_inflation","ye",5,-2.69275322406483,1.0802683751368,1.91522729937729
"combo_bma","cpi_inflation","ye",6,-2.94410775446162,1.22156937143064,2.10387731466404
"combo_bma","cpi_inflation","ye",7,-3.16766575282412,1.34761221499654,2.2725629021637
"combo_bma","cpi_inflation","ye",8,-3.29188410427474,1.48619407075151,2.42804897456389
"combo_bma","cpi_inflation","ye",9,-3.28562757849905,1.56828473076871,2.53753228715785
"combo_bma","gdp_growth","cum",10,-3.50438777818329,4.58607083588275,9.18779534930939
"combo_bma","gdp_growth","cum",11,-3.55905942436059,4.91910446438949,10.1624266785646
"combo_bma","gdp_growth","cum",12,-3.55389909330493,5.3142706903272,11.1258970777781
"combo_bma","gdp_growth","cum",2,-3.51499023427027,1.3938036133292,4.03291514000207
"combo_bma","gdp_growth","cum",3,-3.02989967250202,1.82759496893949,5.57899096825075
"combo_bma","gdp_growth","cum",4,-3.08416685765901,2.20311712544451,6.97062618928083
"combo_bma","gdp_growth","cum",5,-3.67860480454452,3.74412612604643,9.10414530933377
"combo_bma","gdp_growth","cum",6,-3.91366729958904,4.5903389695393,11.3408890411926
"combo_bma","gdp_growth","cum",7,-4.11771400852481,5.45694999173191,13.2766912528945
"combo_bma","gdp_growth","cum",8,-4.25655666659652,6.31928642253976,15.3164476432914
"combo_bma","gdp_growth","cum",9,-3.41274981761395,4.11377205595708,8.26998125165249
"combo_bma","gdp_growth","q",1,-8.06489165878299,0.842389812285853,2.30553020398545
"combo_bma","gdp_growth","q",10,-2.37308311447506,1.09984256839203,2.02489297310192
"combo_bma","gdp_growth","q",11,-2.33205877079397,1.13484848501317,2.07493126484493
"combo_bma","gdp_growth","q",12,-2.35721102661203,1.16403818660863,2.08379166222465
"combo_bma","gdp_growth","q",2,-5.39665071500461,0.903242790269912,2.35745802064634
"combo_bma","gdp_growth","q",3,-5.77758601303888,0.940213669064723,2.28154617726404
"combo_bma","gdp_growth","q",4,-4.0836311157156,0.946109943810921,2.18195202695837
"combo_bma","gdp_growth","q",5,-3.3229190028543,1.01760431444617,2.01829684307963
"combo_bma","gdp_growth","q",6,-3.36942399004482,1.31924731052142,2.68781767586555
"combo_bma","gdp_growth","q",7,-3.21219595318341,1.3489595725999,2.49588344476142
"combo_bma","gdp_growth","q",8,-3.31322695080238,1.40917543736298,2.56957937081614
"combo_bma","gdp_growth","q",9,-2.34997418501717,1.08263916669477,1.98957547081703
"combo_bma","gdp_growth","ye",1,-8.06489165878299,0.83458711564469,2.30553020398545
"combo_bma","gdp_growth","ye",10,-3.1160189326382,2.64065210505273,4.40873061744121
"combo_bma","gdp_growth","ye",11,-3.1240408220419,2.65461732597261,4.4890949480218
"combo_bma","gdp_growth","ye",12,-3.10050004353639,2.66941314609134,4.4775545620629
"combo_bma","gdp_growth","ye",2,-3.51499023427027,1.40083444230212,4.03291514000207
"combo_bma","gdp_growth","ye",3,-3.02989967250202,1.8265878900252,5.57899096825075
"combo_bma","gdp_growth","ye",4,-3.08416685765901,2.2137021508301,6.97062618928083
"combo_bma","gdp_growth","ye",5,-3.73609528034586,3.28074555187827,7.25250445088765
"combo_bma","gdp_growth","ye",6,-3.81489837392079,3.47825514396206,7.38846055897943
"combo_bma","gdp_growth","ye",7,-3.91706007145714,3.55734234620249,7.32040314801197
"combo_bma","gdp_growth","ye",8,-3.99042862698458,3.69114413575114,7.56075710617191
"combo_bma","gdp_growth","ye",9,-3.03697535756206,2.56950969289371,4.39556471997173
"combo_bma","unemp_rate","q",1,0.00848319970748598,0.147583023947554,0.33928967873618
"combo_bma","unemp_rate","q",10,-1.97707026822097,0.847389046216063,1.39950108136656
"combo_bma","unemp_rate","q",11,-2.00434349797958,0.880497926921262,1.40881411753331
"combo_bma","unemp_rate","q",12,-2.01287258459302,0.885902640774419,1.41600017874284
"combo_bma","unemp_rate","q",2,-0.906443788369987,0.271990784261527,0.569474867128134
"combo_bma","unemp_rate","q",3,-1.34478935712293,0.388446229604505,0.781635380346994
"combo_bma","unemp_rate","q",4,-1.4021474982665,0.475409656872465,0.939510281172269
"combo_bma","unemp_rate","q",5,-1.64665960455168,0.791702907991054,1.37356921309589
"combo_bma","unemp_rate","q",6,-1.78624002570284,0.855027437213345,1.44670684981713
"combo_bma","unemp_rate","q",7,-1.96195697970781,0.914144972342666,1.50111551165917
"combo_bma","unemp_rate","q",8,-2.03622022234407,0.935139503291638,1.50723025869223
"combo_bma","unemp_rate","q",9,-1.92929074992408,0.835345299020521,1.39466247149182
"combo_equal","cash_rate","q",1,-0.0380781452348201,0.147166939584456,0.341561140795635
"combo_equal","cash_rate","q",10,-2.32481997832253,1.438728987152,2.40447576788272
"combo_equal","cash_rate","q",11,-2.42052733883216,1.54358471226654,2.6022815237247
"combo_equal","cash_rate","q",12,-2.51089263486593,1.66846530820112,2.78333337328242
"combo_equal","cash_rate","q",2,-0.646914488023452,0.262872959186915,0.524244880120306
"combo_equal","cash_rate","q",3,-1.01786008860261,0.378889271405532,0.726618390056237
"combo_equal","cash_rate","q",4,-1.32680174917868,0.51418362339062,0.968704623568489
"combo_equal","cash_rate","q",5,-1.57499992905276,0.66633617032675,1.21498146220497
"combo_equal","cash_rate","q",6,-1.77108633309096,0.814516486601302,1.46170585114085
"combo_equal","cash_rate","q",7,-1.92971375437865,0.964488393553886,1.69813982096298
"combo_equal","cash_rate","q",8,-2.06994636074569,1.12581108715912,1.92347815452619
"combo_equal","cash_rate","q",9,-2.20542795006185,1.27107329974174,2.17931976033623
"combo_equal","cpi_inflation","cum",10,-3.32047835619385,2.6256208672136,4.28700083586749
"combo_equal","cpi_inflation","cum",11,-3.54406701419371,2.98626077218638,4.74902640454601
"combo_equal","cpi_inflation","cum",12,-3.73953677095629,3.33971806985832,5.21611466103954
"combo_equal","cpi_inflation","cum",2,-0.713363262100415,0.337575584002192,0.683958545758771
"combo_equal","cpi_inflation","cum",3,-1.16538558506095,0.542327508201686,1.08246597506224
"combo_equal","cpi_inflation","cum",4,-1.53801513508882,0.770042571300503,1.50064724669108
"combo_equal","cpi_inflation","cum",5,-1.84671532227023,1.01516118418834,1.93642104349842
"combo_equal","cpi_inflation","cum",6,-2.1288116268736,1.28322682293929,2.38362220164601
"combo_equal","cpi_inflation","cum",7,-2.45340365468232,1.5913639401515,2.84997822106587
"combo_equal","cpi_inflation","cum",8,-2.75338377811571,1.91886886345397,3.32241350246901
"combo_equal","cpi_inflation","cum",9,-3.06577431051538,2.25482371696048,3.80674665250833
"combo_equal","cpi_inflation","q",1,-0.0505651696074806,0.160919155381175,0.32641655615625
"combo_equal","cpi_inflation","q",10,-1.22363455911004,0.352049403995524,0.608825662349565
"combo_equal","cpi_inflation","q",11,-1.26475225632611,0.355917874554944,0.603934458907018
"combo_equal","cpi_inflation","q",12,-1.31535313608934,0.364183587735364,0.603496619946521
"combo_equal","cpi_inflation","q",2,-0.213610306365715,0.19387518189468,0.389033715626526
"combo_equal","cpi_inflation","q",3,-0.342360646059561,0.221616088891164,0.435902854095962
"combo_equal","cpi_inflation","q",4,-0.4721766354063,0.24618042855262,0.471498886896484
"combo_equal","cpi_inflation","q",5,-0.592420753027693,0.264458243503651,0.503308852388876
"combo_equal","cpi_inflation","q",6,-0.786451213453405,0.285459403164205,0.531192063947447
"combo_equal","cpi_inflation","q",7,-0.942975578944263,0.307573797894141,0.561379847410792
"combo_equal","cpi_inflation","q",8,-1.07082359525902,0.323482337934491,0.580805010261202
"combo_equal","cpi_inflation","q",9,-1.19211116417716,0.343124067893852,0.600470281955444
"combo_equal","cpi_inflation","ye",1,-0.0505651696074806,0.159096471713746,0.32641655615625
"combo_equal","cpi_inflation","ye",10,-2.74173856930978,1.3342542733901,2.27395007970724
"combo_equal","cpi_inflation","ye",11,-2.7916060144145,1.3979842586572,2.3193765661366
"combo_equal","cpi_inflation","ye",12,-2.86312103757521,1.42470990302557,2.34186510559013
"combo_equal","cpi_inflation","ye",2,-0.713363262100416,0.336001665129479,0.683958545758771
"combo_equal","cpi_inflation","ye",3,-1.16538558506095,0.5440221510697,1.08246597506224
"combo_equal","cpi_inflation","ye",4,-1.53801513508882,0.76539046648474,1.50064724669108
"combo_equal","cpi_inflation","ye",5,-1.72813203079789,0.888967277106829,1.68564183043073
"combo_equal","cpi_inflation","ye",6,-1.94819636204183,1.00136890867067,1.83247256252782
"combo_equal","cpi_inflation","ye",7,-2.18123029513342,1.09829400539552,1.96787332122148
"combo_equal","cpi_inflation","ye",8,-2.38730960694666,1.19553838597813,2.08638272621164
"combo_equal","cpi_inflation","ye",9,-2.61689207711668,1.26505923116415,2.19114295355839
"combo_equal","gdp_growth","cum",10,-2.90307285541767,2.20811752508941,4.58581574202929
"combo_equal","gdp_growth","cum",11,-2.918929143294,2.24000633899234,4.78153920301056
"combo_equal","gdp_growth","cum",12,-2.90242714908318,2.23701934839027,4.93769774690273
"combo_equal","gdp_growth","cum",2,-2.67737421865758,0.969741362312362,2.28394542515968
"combo_equal","gdp_growth","cum",3,-2.14010666297872,1.16881340867575,2.64321998308126
"combo_equal","gdp_growth","cum",4,-2.19792286831878,1.30456744385538,2.81840997825164
"combo_equal","gdp_growth","cum",5,-2.3631892125092,1.45254299636531,2.91522396244418
"combo_equal","gdp_growth","cum",6,-2.53880367536916,1.72994051195153,3.45892144562518
"combo_equal","gdp_growth","cum",7,-2.68176892933177,1.90663682358024,3.79046932839517
"combo_equal","gdp_growth","cum",8,-2.76138234046894,2.03015238910136,4.13023822595369
"combo_equal","gdp_growth","cum",9,-2.86343278819163,2.17428489611451,4.36500526735216
"combo_equal","gdp_growth","q",1,-7.34951656682862,0.634418002644749,1.61956924608663
"combo_equal","gdp_growth","q",10,-1.82811954534551,0.850148543047674,1.85909487005737
"combo_equal","gdp_growth","q",11,-1.7873749850868,0.859680796549503,1.9000117546344
"combo_equal","gdp_growth","q",12,-1.81242181245221,0.886750029613811,1.92180596380285
"combo_equal","gdp_growth","q",2,-4.56150683379131,0.68186148573751,1.67036927674809
"combo_equal","gdp_growth","q",3,-4.74299049783898,0.708530690037858,1.68832078505777
"combo_equal","gdp_growth","q",4,-3.06852140130553,0.733869745538502,1.68863082238883
