"member","ess_min","stable_share_min","block_exog_max","converged_all","sanity_all","no_lookahead","reproducible"
"small_minn",771.026019401997,0.976666666666667,1.18447690999067e-05,TRUE,TRUE,TRUE,TRUE
"small_ss",766.322983156211,0.986666666666667,1.36913419120156e-05,TRUE,TRUE,TRUE,TRUE
"small_sv",85.9710500927083,1,0,TRUE,TRUE,TRUE,TRUE
"small_loose_p5",568.755860748494,0.776666666666667,1.41106214409634e-05,TRUE,TRUE,TRUE,TRUE
"medium_minn",73.2432592265206,1,0,TRUE,TRUE,TRUE,TRUE
"medium_conj",1000,1,0,TRUE,TRUE,TRUE,TRUE
"small_tight",1000,1,0,TRUE,TRUE,TRUE,TRUE
"rw",Inf,1,0,TRUE,TRUE,TRUE,TRUE
"ar4",Inf,1,0,TRUE,TRUE,TRUE,TRUE
"ucsv",21.163490999845,1,0,TRUE,TRUE,TRUE,TRUE
"ucmean",Inf,1,0,TRUE,TRUE,TRUE,TRUE
